S.No,Timezone
1,Europe/London
2,America/New_York
3,Asia/Tokyo
4,Europe/Paris
5,Africa/Cairo
6,Australia/Sydney
7,America/Los_Angeles
8,Europe/Berlin
9,America/Chicago
10,Asia/Shanghai
11,Africa/Nairobi
12,America/Argentina/Buenos_Aires
13,Asia/Singapore
14,Europe/Madrid
15,America/Denver
16,Asia/Hong_Kong
17,Europe/Amsterdam
18,Europe/Rome
19,Africa/Johannesburg
20,Asia/Dubai
21,America/Toronto
22,Europe/Brussels
23,Asia/Kolkata
24,Europe/Stockholm
25,America/Vancouver
26,Africa/Lagos
27,Asia/Seoul
28,Europe/Moscow
29,America/Mexico_City
